Number,one_hot_Company_Acer,one_hot_Company_Apple,one_hot_Company_Asus,one_hot_Company_Chuwi,one_hot_Company_Dell,one_hot_Company_Fujitsu,one_hot_Company_Google,one_hot_Company_HP,one_hot_Company_Huawei,one_hot_Company_LG,one_hot_Company_Lenovo,one_hot_Company_MSI,one_hot_Company_Mediacom,one_hot_Company_Microsoft,one_hot_Company_Razer,one_hot_Company_Samsung,one_hot_Company_Toshiba,one_hot_Company_Vero,one_hot_Company_Xiaomi,one_hot_TypeName_2 in 1 Convertible,one_hot_TypeName_Gaming,one_hot_TypeName_Netbook,one_hot_TypeName_Notebook,one_hot_TypeName_Ultrabook,one_hot_TypeName_Workstation,Inches,Display,Touchscreen,ScreenArea,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,one_hot_OpSys_Android,one_hot_OpSys_Chrome OS,one_hot_OpSys_Linux,one_hot_OpSys_Mac OS X,one_hot_OpSys_No OS,one_hot_OpSys_Windows 10,one_hot_OpSys_Windows 10 S,one_hot_OpSys_Windows 7,one_hot_OpSys_macOS,Weight,Price
298,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,29,2.4,6,11,0,15,0,0,0,0,0,1,0,0,0,2.4,26586.72
299,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,55,2.7,16,19,0,40,0,0,0,0,0,1,0,0,0,1.63,78215.04
300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,1049088,34,2.4,4,14,0,45,0,0,0,0,0,1,0,0,0,1.3,27119.52
301,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,67,2.8,16,17,5,83,0,0,0,0,0,1,0,0,0,2.9,113060.16
302,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,1,0,1440000,43,2.5,6,11,0,27,0,0,0,0,0,1,0,0,0,2.8,34578.72
303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,43,2.5,8,10,0,40,0,0,0,0,1,0,0,0,0,2.2,29250.72
304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,3,0,2073600,67,2.8,8,14,5,58,0,0,0,0,0,1,0,0,0,2.5,67399.2
305,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,22,1.1,4,11,0,13,0,0,0,0,1,0,0,0,0,2.2,19180.2672
306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,3,1,2073600,68,2.8,16,17,0,45,0,0,0,0,0,1,0,0,0,1.28,105228.0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15.6,5,0,2073600,59,2.5,8,17,0,56,0,0,0,0,0,1,0,0,0,2.2,55571.04
308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,8,14,5,40,0,0,0,0,0,1,0,0,0,2.3,43636.32
309,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,27,2.0,4,11,0,34,0,0,0,0,0,1,0,0,0,1.86,24988.32
310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.3,5,0,2073600,43,2.5,8,17,0,45,0,0,0,0,0,1,0,0,0,1.1,53226.72
311,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,9,1,8294400,52,1.8,16,20,0,51,0,0,0,0,0,1,0,0,0,1.21,133146.72
312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,67,2.8,16,17,5,83,0,0,0,0,0,1,0,0,0,2.8,111834.72
313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,26,2.2,8,17,0,14,0,0,0,0,0,1,0,0,0,2.23,24988.32
314,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.6,1,1,1049088,12,1.1,2,4,0,3,0,0,0,0,0,1,0,0,0,1.1,14652.0
315,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,45,1.6,8,14,5,38,0,0,0,0,0,1,0,0,0,2.33,44968.32
316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,9,1,8294400,52,1.8,16,20,0,51,0,0,0,0,0,1,0,0,0,1.29,130482.72
